ID;Assay;Allele X;Allele Y;Name;Type;Auto;Confidence;Final;Converted;Allele X;Allele Y;Comments
S96-A25;A25;A25;A25;S96;Unknown;XX;99,3;XX;;0,656576806;0,437827229;
S96-A26;A26;A26;A26;S96;Unknown;YY;99,96;YY;;0,225076544;0,724864853;
S96-A27;A27;A27;A27;S96;Unknown;XY;99,72;XY;;0,525575704;0,556001989;
S96-A30;A30;A30;A30;S96;Unknown;XY;98,15;XY;;0,473223689;0,513393647;
S96-A29;A29;A29;A29;S96;Unknown;XY;99,46;XY;;0,512155224;0,512967118;
S96-A28;A28;A28;A28;S96;Unknown;XX;99,93;XX;;0,713528378;0,167692507;
S96-A31;A31;A31;A31;S96;Unknown;YY;99,84;YY;;0,131286028;0,438119277;
S96-A32;A32;A32;A32;S96;Unknown;XY;99,65;XY;;0,514326437;0,531134919;
S96-A33;A33;A33;A33;S96;Unknown;YY;99,88;YY;;0,144704654;0,678600647;
S96-A36;A36;A36;A36;S96;Unknown;XY;98,37;XY;;0,544005636;0,614006975;
S96-A35;A35;A35;A35;S96;Unknown;XY;99,66;XY;;0,603223826;0,596217112;
S96-A34;A34;A34;A34;S96;Unknown;XX;99,89;XX;;0,662964364;0,138931815;
S96-A37;A37;A37;A37;S96;Unknown;YY;99,98;YY;;0,172126134;0,721448374;
S96-A38;A38;A38;A38;S96;Unknown;XY;94,75;XY;;0,599795884;0,479434297;
S96-A39;A39;A39;A39;S96;Unknown;XY;99,1;XY;;0,531753262;0,591212918;
S96-A42;A42;A42;A42;S96;Unknown;XY;97,25;XY;;0,49789582;0,60943154;
S96-A41;A41;A41;A41;S96;Unknown;YY;99,88;YY;;0,148415984;0,73990256;
S96-A40;A40;A40;A40;S96;Unknown;XY;99,69;XY;;0,52477617;0,500795531;
S96-A43;A43;A43;A43;S96;Unknown;XY;98,56;XY;;0,469688738;0,584471757;
S96-A44;A44;A44;A44;S96;Unknown;YY;99,88;YY;;0,327745878;0,720127685;
S96-A45;A45;A45;A45;S96;Unknown;XY;92,97;XY;;0,499074846;0,338329829;
S96-A48;A48;A48;A48;S96;Unknown;XY;99,35;XY;;0,481061737;0,586331826;
S96-A47;A47;A47;A47;S96;Unknown;YY;99,92;YY;;0,155822864;0,724396878;
S96-A46;A46;A46;A46;S96;Unknown;XX;99,81;XX;;0,717041794;0,244861393;
S96-A52;A52;A52;A52;S96;Unknown;XX;99,88;XX;;0,743100839;0,158840572;
S96-A53;A53;A53;A53;S96;Unknown;XY;99,79;XY;;0,669527295;0,642869121;
S96-A54;A54;A54;A54;S96;Unknown;XY;98,75;XY;;0,388734647;0,395646864;
S96-A51;A51;A51;A51;S96;Unknown;XY;97,23;XY;;0,186676536;0,206777516;
S96-A50;A50;A50;A50;S96;Unknown;XX;99,79;XX;;0,725050035;0,244769922;
S96-A49;A49;A49;A49;S96;Unknown;XY;96,46;XY;;0,552138147;0,571182523;
S96-A58;A58;A58;A58;S96;Unknown;XX;99,81;XX;;0,739940579;0,321285325;
S96-A59;A59;A59;A59;S96;Unknown;XY;89,37;XY;;0,451694298;0,664824093;
S96-A60;A60;A60;A60;S96;Unknown;XX;99,93;XX;;0,752294367;0,174912854;
S96-A57;A57;A57;A57;S96;Unknown;XX;99,54;XX;;0,601778058;0,143699568;
S96-A56;A56;A56;A56;S96;Unknown;XY;99,77;XY;;0,524490085;0,575065951;
S96-A55;A55;A55;A55;S96;Unknown;XY;99,33;XY;;0,526960255;0,53919732;
S96-A64;A64;A64;A64;S96;Unknown;XY;99,47;XY;;0,59636222;0,600934128;
S96-A65;A65;A65;A65;S96;Unknown;XX;99,86;XX;;0,499081841;0,129397732;
S96-A66;A66;A66;A66;S96;Unknown;YY;99,94;YY;;0,309699981;0,691596918;
S96-A63;A63;A63;A63;S96;Unknown;YY;99,99;YY;;0,151027243;0,738925932;
S96-A62;A62;A62;A62;S96;Unknown;XY;99,48;XY;;0,586009495;0,540575896;
S96-A61;A61;A61;A61;S96;Unknown;YY;99,92;YY;;0,230176229;0,703743087;
S96-A70;A70;A70;A70;S96;Unknown;XY;94,82;XY;;0,444453975;0,619581746;
S96-A71;A71;A71;A71;S96;Unknown;XX;99,22;XX;;0,676146254;0,317378187;
S96-A72;A72;A72;A72;S96;Unknown;YY;99,93;YY;;0,13419889;0,715958324;
S96-A69;A69;A69;A69;S96;Unknown;XY;99,71;XY;;0,54225862;0,590685026;
S96-A68;A68;A68;A68;S96;Unknown;YY;99,99;YY;;0,152607035;0,721572096;
S96-A67;A67;A67;A67;S96;Unknown;XY;98,94;XY;;0,450876742;0,505262958;
S96-A76;A76;A76;A76;S96;Unknown;XX;99,82;XX;;0,716825728;0,308949362;
S96-A77;A77;A77;A77;S96;Unknown;XY;98,54;XY;;0,431730143;0,574561655;
S96-A78;A78;A78;A78;S96;Unknown;XY;99,82;XY;;0,595341643;0,541366949;
S96-A75;A75;A75;A75;S96;Unknown;YY;99,98;YY;;0,248092833;0,696790949;
S96-A74;A74;A74;A74;S96;Unknown;XY;89,3;XY;;0,420941657;0,570496818;
S96-A73;A73;A73;A73;S96;Unknown;XY;99,91;XY;;0,540012995;0,552509099;
S96-A82;A82;A82;A82;S96;Unknown;XY;98,49;XY;;0,467616346;0,589787541;
S96-A83;A83;A83;A83;S96;Unknown;YY;99,65;YY;;0,326120349;0,672751298;
S96-A84;A84;A84;A84;S96;Unknown;No Call;0;No Call;No Call;0,124302301;0,126543901;
S96-A81;A81;A81;A81;S96;Unknown;XY;99,77;XY;;0,501403343;0,545228364;
S96-A80;A80;A80;A80;S96;Unknown;XY;97,07;XY;;0,567311983;0,482701528;
S96-A79;A79;A79;A79;S96;Unknown;XX;99,98;XX;;0,725083454;0,15055219;
S96-A88;A88;A88;A88;S96;Unknown;XY;98,83;XY;;0,486133116;0,593287052;
S96-A89;A89;A89;A89;S96;Unknown;XY;99,93;XY;;0,554525705;0,498583496;
S96-A90;A90;A90;A90;S96;Unknown;XY;97,36;XY;;0,514938;0,656493037;
S96-A87;A87;A87;A87;S96;Unknown;XX;99,89;XX;;0,709561026;0,273426781;
S96-A86;A86;A86;A86;S96;Unknown;XX;99,97;XX;;0,700392738;0,288879989;
S96-A85;A85;A85;A85;S96;Unknown;XY;99,3;XY;;0,532149542;0,521773838;
S96-A94;A94;A94;A94;S96;Unknown;XY;99,64;XY;;0,611789394;0,533029025;
S96-A95;A95;A95;A95;S96;Unknown;YY;99,7;YY;;0,304973578;0,736618562;
S96-A96;A96;A96;A96;S96;Unknown;XX;99,86;XX;;0,716584416;0,14201876;
S96-A93;A93;A93;A93;S96;Unknown;XY;97,82;XY;;0,475876843;0,581004549;
S96-A92;A92;A92;A92;S96;Unknown;YY;97,35;YY;;0,184144722;0,60950098;
S96-A91;A91;A91;A91;S96;Unknown;XY;98,22;XY;;0,602474351;0,486875287;
S06-A01;A01;A01;A01;S06;Unknown;XY;99,51;XY;;0,632534031;0,532020523;
S06-A02;A02;A02;A02;S06;Unknown;XY;98,48;XY;;0,339004549;0,333107156;
S06-A03;A03;A03;A03;S06;Unknown;YY;99,97;YY;;0,163887074;0,667817368;
S06-A06;A06;A06;A06;S06;Unknown;YY;99,97;YY;;0,225380754;0,654070162;
S06-A05;A05;A05;A05;S06;Unknown;XY;99,85;XY;;0,460628523;0,574323588;
S06-A04;A04;A04;A04;S06;Unknown;XX;99,81;XX;;0,699898307;0,170428579;
S06-A07;A07;A07;A07;S06;Unknown;XX;99,63;XX;;0,694356878;0,264288851;
S06-A08;A08;A08;A08;S06;Unknown;XY;99,75;XY;;0,52575282;0,483662435;
S06-A09;A09;A09;A09;S06;Unknown;YY;99,84;YY;;0,216086021;0,714624855;
S06-A12;A12;A12;A12;S06;Unknown;YY;99,82;YY;;0,186196191;0,723628617;
S06-A11;A11;A11;A11;S06;Unknown;XY;99,69;XY;;0,535821548;0,571272303;
S06-A10;A10;A10;A10;S06;Unknown;XX;99,78;XX;;0,666031908;0,136723761;
S06-A13;A13;A13;A13;S06;Unknown;XX;99,78;XX;;0,692204736;0,223815276;
S06-A14;A14;A14;A14;S06;Unknown;XY;95,49;XY;;0,317482926;0,398908734;
S06-A15;A15;A15;A15;S06;Unknown;XY;99,6;XY;;0,494935894;0,512859294;
S06-A18;A18;A18;A18;S06;Unknown;XY;99,68;XY;;0,513253407;0,571320266;
S06-A17;A17;A17;A17;S06;Unknown;XX;99,83;XX;;0,70062003;0,190637238;
S06-A16;A16;A16;A16;S06;Unknown;XY;99,15;XY;;0,577634087;0,520343116;
S06-A19;A19;A19;A19;S06;Unknown;YY;99,72;YY;;0,240761357;0,686794871;
S06-A20;A20;A20;A20;S06;Unknown;XY;98,98;XY;;0,527025858;0,566079159;
S06-A21;A21;A21;A21;S06;Unknown;XY;97,67;XY;;0,455618514;0,553054334;
S06-A24;A24;A24;A24;S06;Unknown;XY;99,78;XY;;0,542921536;0,546081602;
S06-A23;A23;A23;A23;S06;Unknown;YY;99,94;YY;;0,13050421;0,73141651;
S06-A22;A22;A22;A22;S06;Unknown;YY;99,91;YY;;0,197879876;0,721772674;
S06-A25;A25;A25;A25;S06;Unknown;XX;99,3;XX;;0,656211815;0,445871547;
S06-A26;A26;A26;A26;S06;Unknown;YY;99,91;YY;;0,217725779;0,716439779;
S06-A27;A27;A27;A27;S06;Unknown;XY;99,6;XY;;0,527050449;0,540090017;
S06-A30;A30;A30;A30;S06;Unknown;XY;97,54;XY;;0,466823752;0,494630949;
S06-A29;A29;A29;A29;S06;Unknown;XY;98,26;XY;;0,481281209;0,526423331;
S06-A28;A28;A28;A28;S06;Unknown;XX;99,93;XX;;0,718885833;0,1588365;
S06-A31;A31;A31;A31;S06;Unknown;YY;99,89;YY;;0,122706243;0,447043572;
S06-A32;A32;A32;A32;S06;Unknown;XY;99,64;XY;;0,524575758;0,519170739;
S06-A33;A33;A33;A33;S06;Unknown;YY;99,83;YY;;0,13847809;0,6748167;
S06-A36;A36;A36;A36;S06;Unknown;XY;99,65;XY;;0,58306097;0,559458974;
S06-A35;A35;A35;A35;S06;Unknown;XY;98,32;XY;;0,546424429;0,634136555;
S06-A34;A34;A34;A34;S06;Unknown;XX;99,91;XX;;0,666613673;0,134377348;
S06-A37;A37;A37;A37;S06;Unknown;YY;99,96;YY;;0,163481536;0,7176642;
S06-A38;A38;A38;A38;S06;Unknown;XY;95,82;XY;;0,593612815;0,487268438;
S06-A39;A39;A39;A39;S06;Unknown;XY;99,2;XY;;0,561770086;0,536273166;
S06-A42;A42;A42;A42;S06;Unknown;XY;98,45;XY;;0,509776857;0,592401222;
S06-A41;A41;A41;A41;S06;Unknown;YY;99,86;YY;;0,15177718;0,733438995;
S06-A40;A40;A40;A40;S06;Unknown;XY;98,24;XY;;0,462694571;0,53673189;
S06-A43;A43;A43;A43;S06;Unknown;XY;99,26;XY;;0,501766497;0,543864435;
S06-A44;A44;A44;A44;S06;Unknown;YY;99,71;YY;;0,318715646;0,713521792;
S06-A45;A45;A45;A45;S06;Unknown;XY;93,93;XY;;0,418826142;0,402808055;
S06-A48;A48;A48;A48;S06;Unknown;XY;99,83;XY;;0,514537252;0,55149544;
S06-A47;A47;A47;A47;S06;Unknown;YY;99,91;YY;;0,154850873;0,721732981;
S06-A46;A46;A46;A46;S06;Unknown;XX;99,84;XX;;0,71917642;0,25098361;
S06-A52;A52;A52;A52;S06;Unknown;XX;99,57;XX;;0,715014397;0,166206591;
S06-A53;A53;A53;A53;S06;Unknown;XY;97,98;XY;;0,589792657;0,680172873;
S06-A54;A54;A54;A54;S06;Unknown;XY;98,96;XY;;0,379904868;0,4138526;
S06-A51;A51;A51;A51;S06;Unknown;XY;96,93;XY;;0,188381208;0,190298773;
S06-A50;A50;A50;A50;S06;Unknown;XX;99,7;XX;;0,717638684;0,242809601;
S06-A49;A49;A49;A49;S06;Unknown;XY;91,34;XY;;0,519696834;0,573242109;
S06-A58;A58;A58;A58;S06;Unknown;XX;99,54;XX;;0,721733224;0,312597273;
S06-A59;A59;A59;A59;S06;Unknown;XY;99,49;XY;;0,545601046;0,567675253;
S06-A60;A60;A60;A60;S06;Unknown;XX;99,8;XX;;0,732007962;0,171962075;
S06-A57;A57;A57;A57;S06;Unknown;XX;99,62;XX;;0,605089966;0,120206076;
S06-A56;A56;A56;A56;S06;Unknown;XY;99,4;XY;;0,504757609;0,56869273;
S06-A55;A55;A55;A55;S06;Unknown;XY;98,81;XY;;0,501714759;0,537033885;
S06-A64;A64;A64;A64;S06;Unknown;XY;98,96;XY;;0,580205704;0,596476092;
S06-A65;A65;A65;A65;S06;Unknown;XX;99,66;XX;;0,488644653;0,121174973;
S06-A66;A66;A66;A66;S06;Unknown;YY;99,87;YY;;0,303467248;0,683586009;
S06-A63;A63;A63;A63;S06;Unknown;YY;99,97;YY;;0,144049244;0,728628244;
S06-A62;A62;A62;A62;S06;Unknown;XY;99,38;XY;;0,568200997;0,548040628;
S06-A61;A61;A61;A61;S06;Unknown;YY;99,79;YY;;0,215745435;0,693291212;
S06-A70;A70;A70;A70;S06;Unknown;XY;95,98;XY;;0,447878225;0,606576768;
S06-A71;A71;A71;A71;S06;Unknown;XX;99,43;XX;;0,687147366;0,309022068;
S06-A72;A72;A72;A72;S06;Unknown;YY;99,95;YY;;0,130218275;0,721102054;
S06-A69;A69;A69;A69;S06;Unknown;XY;99,49;XY;;0,531369238;0,589291694;
S06-A68;A68;A68;A68;S06;Unknown;YY;99,98;YY;;0,149603573;0,716638548;
S06-A67;A67;A67;A67;S06;Unknown;XY;99,78;XY;;0,495469767;0,485816667;
S06-A76;A76;A76;A76;S06;Unknown;XX;99,59;XX;;0,700734825;0,306148971;
S06-A77;A77;A77;A77;S06;Unknown;XY;99,46;XY;;0,507561035;0,488110261;
S06-A78;A78;A78;A78;S06;Unknown;XY;99,47;XY;;0,569943141;0,549680147;
S06-A75;A75;A75;A75;S06;Unknown;YY;99,94;YY;;0,244942603;0,685533058;
S06-A74;A74;A74;A74;S06;Unknown;XY;99,01;XY;;0,477139421;0,536936538;
S06-A73;A73;A73;A73;S06;Unknown;XY;99,19;XY;;0,488174906;0,581658792;
S06-A82;A82;A82;A82;S06;Unknown;XY;99,12;XY;;0,547824518;0,489461008;
S06-A83;A83;A83;A83;S06;Unknown;YY;99,67;YY;;0,322903895;0,674760177;
S06-A84;A84;A84;A84;S06;Unknown;No Call;0;No Call;No Call;0,28344245;0,342161011;
S06-A81;A81;A81;A81;S06;Unknown;XY;99,91;XY;;0,51626433;0,529129988;
S06-A80;A80;A80;A80;S06;Unknown;XY;99,32;XY;;0,489694685;0,554959513;
S06-A79;A79;A79;A79;S06;Unknown;XX;99,92;XX;;0,706160133;0,147666331;
S06-A88;A88;A88;A88;S06;Unknown;XY;98,01;XY;;0,471411512;0,590274889;
S06-A89;A89;A89;A89;S06;Unknown;XY;99,76;XY;;0,537682702;0,490823469;
S06-A90;A90;A90;A90;S06;Unknown;XY;99,21;XY;;0,535500767;0,628974635;
S06-A87;A87;A87;A87;S06;Unknown;XX;99,77;XX;;0,692799367;0,280541475;
S06-A86;A86;A86;A86;S06;Unknown;XX;99,93;XX;;0,693771375;0,309327961;
S06-A85;A85;A85;A85;S06;Unknown;XY;99,14;XY;;0,531000998;0,515492318;
S06-A94;A94;A94;A94;S06;Unknown;XY;99,51;XY;;0,538451414;0,59107524;
S06-A95;A95;A95;A95;S06;Unknown;YY;99,9;YY;;0,323991563;0,736584112;
S06-A96;A96;A96;A96;S06;Unknown;XX;99,76;XX;;0,706437647;0,136947931;
S06-A93;A93;A93;A93;S06;Unknown;XY;99,25;XY;;0,561853052;0,503817482;
S06-A92;A92;A92;A92;S06;Unknown;No Call;0;No Call;No Call;0,129693728;0,168275405;
S06-A91;A91;A91;A91;S06;Unknown;XY;99,48;XY;;0,587852852;0,508990696;
S95-A01;A01;A01;A01;S95;Unknown;XY;98,71;XY;;0,586366497;0,585928389;
S95-A02;A02;A02;A02;S95;Unknown;XY;96,43;XY;;0,310250538;0,319465069;
S95-A03;A03;A03;A03;S95;Unknown;YY;99,95;YY;;0,172575568;0,656424778;
S95-A06;A06;A06;A06;S95;Unknown;YY;99,81;YY;;0,212395871;0,641295764;
S95-A05;A05;A05;A05;S95;Unknown;XY;99,48;XY;;0,440778848;0,586161844;
S95-A04;A04;A04;A04;S95;Unknown;XX;99,91;XX;;0,713056391;0,193800905;
S95-A07;A07;A07;A07;S95;Unknown;XX;99,78;XX;;0,715786052;0,254116566;
S95-A08;A08;A08;A08;S95;Unknown;XY;99,91;XY;;0,502919159;0,517768377;
S95-A09;A09;A09;A09;S95;Unknown;YY;99,86;YY;;0,224885068;0,710931018;
S95-A12;A12;A12;A12;S95;Unknown;YY;99,73;YY;;0,177501208;0,720691666;
S95-A11;A11;A11;A11;S95;Unknown;XY;97,72;XY;;0,596167806;0,491499134;
S95-A10;A10;A10;A10;S95;Unknown;XX;99,69;XX;;0,682882219;0,13377267;
S95-A13;A13;A13;A13;S95;Unknown;XX;99,9;XX;;0,708441979;0,208293233;
S95-A14;A14;A14;A14;S95;Unknown;XY;99,21;XY;;0,350681449;0,379163345;
S95-A15;A15;A15;A15;S95;Unknown;XY;99,37;XY;;0,520790182;0,495224125;
S95-A18;A18;A18;A18;S95;Unknown;XY;99,72;XY;;0,514632461;0,574848665;
S95-A17;A17;A17;A17;S95;Unknown;XX;99,87;XX;;0,709863043;0,213750409;
S95-A16;A16;A16;A16;S95;Unknown;XY;99,52;XY;;0,568757546;0,536191279;
S95-A19;A19;A19;A19;S95;Unknown;YY;99,75;YY;;0,242986919;0,687793507;
S95-A20;A20;A20;A20;S95;Unknown;XY;98,23;XY;;0,559076803;0,532578562;
S95-A21;A21;A21;A21;S95;Unknown;XY;99,13;XY;;0,528536052;0,493099206;
S95-A24;A24;A24;A24;S95;Unknown;XY;99,78;XY;;0,537099624;0,555208306;
S95-A23;A23;A23;A23;S95;Unknown;YY;99,94;YY;;0,128582675;0,733501912;
S95-A22;A22;A22;A22;S95;Unknown;YY;99,89;YY;;0,194783898;0,722125534;
S95-A25;A25;A25;A25;S95;Unknown;XX;99,1;XX;;0,652078969;0,445353142;
S95-A26;A26;A26;A26;S95;Unknown;YY;99,92;YY;;0,222193791;0,714094539;
S95-A27;A27;A27;A27;S95;Unknown;XY;89,14;XY;;0,605038175;0,446795304;
S95-A30;A30;A30;A30;S95;Unknown;XY;98,8;XY;;0,506083401;0,474618557;
S95-A29;A29;A29;A29;S95;Unknown;XY;98,18;XY;;0,480215969;0,530591766;
S95-A28;A28;A28;A28;S95;Unknown;XX;99,91;XX;;0,716570566;0,156573993;
S95-A31;A31;A31;A31;S95;Unknown;YY;99,76;YY;;0,127621046;0,433199562;
S95-A32;A32;A32;A32;S95;Unknown;XY;98,46;XY;;0,549166223;0,485561504;
S95-A33;A33;A33;A33;S95;Unknown;YY;99,78;YY;;0,136526501;0,670096497;
S95-A36;A36;A36;A36;S95;Unknown;XY;99,46;XY;;0,602860623;0,533120696;
S95-A35;A35;A35;A35;S95;Unknown;XY;97,24;XY;;0,631295298;0,532676982;
S95-A34;A34;A34;A34;S95;Unknown;XX;99,84;XX;;0,655157815;0,133009808;
S95-A37;A37;A37;A37;S95;Unknown;YY;99,91;YY;;0,158775157;0,707411767;
S95-A38;A38;A38;A38;S95;Unknown;XY;88,77;XY;;0,538910866;0,53881474;
S95-A39;A39;A39;A39;S95;Unknown;XY;99,47;XY;;0,553076072;0,559374224;
S95-A42;A42;A42;A42;S95;Unknown;XY;98,98;XY;;0,520084177;0,584994945;
S95-A41;A41;A41;A41;S95;Unknown;YY;99,84;YY;;0,14442191;0,735288783;
S95-A40;A40;A40;A40;S95;Unknown;XY;99,26;XY;;0,485488821;0,52330817;
S95-A43;A43;A43;A43;S95;Unknown;XY;99,2;XY;;0,510031112;0,534492493;
S95-A44;A44;A44;A44;S95;Unknown;YY;99,77;YY;;0,324037891;0,713033284;
S95-A45;A45;A45;A45;S95;Unknown;XY;98,97;XY;;0,453048503;0,37999348;
S95-A48;A48;A48;A48;S95;Unknown;XY;97,75;XY;;0,453268584;0,598356223;
S95-A47;A47;A47;A47;S95;Unknown;YY;99,87;YY;;0,151345352;0,713356645;
S95-A46;A46;A46;A46;S95;Unknown;XX;99,82;XX;;0,717287987;0,257351104;
S95-A52;A52;A52;A52;S95;Unknown;XX;99,83;XX;;0,737182831;0,154851571;
S95-A53;A53;A53;A53;S95;Unknown;XY;99,66;XY;;0,648525176;0,648981936;
S95-A54;A54;A54;A54;S95;Unknown;XY;97,69;XY;;0,411022402;0,367144234;
S95-A51;A51;A51;A51;S95;Unknown;XY;97,3;XY;;0,19389653;0,186186352;
S95-A50;A50;A50;A50;S95;Unknown;XX;99,68;XX;;0,718804731;0,231842758;
S95-A49;A49;A49;A49;S95;Unknown;XY;93,81;XY;;0,527301729;0,578470891;
S95-A58;A58;A58;A58;S95;Unknown;XX;99,74;XX;;0,733151078;0,32227532;
S95-A59;A59;A59;A59;S95;Unknown;XY;98,2;XY;;0,500305908;0,622318904;
S95-A60;A60;A60;A60;S95;Unknown;XX;99,91;XX;;0,748759216;0,171454447;
S95-A57;A57;A57;A57;S95;Unknown;XX;99,73;XX;;0,613568966;0,118998234;
S95-A56;A56;A56;A56;S95;Unknown;XY;98,92;XY;;0,566210902;0,513404517;
S95-A55;A55;A55;A55;S95;Unknown;XY;98,61;XY;;0,4783557;0,565439776;
S95-A64;A64;A64;A64;S95;Unknown;XY;98,53;XY;;0,560581065;0,612772502;
S95-A65;A65;A65;A65;S95;Unknown;XX;99,84;XX;;0,497659028;0,126652393;
S95-A66;A66;A66;A66;S95;Unknown;YY;99,89;YY;;0,307468554;0,684072515;
S95-A63;A63;A63;A63;S95;Unknown;YY;99,97;YY;;0,141180525;0,731669274;
S95-A62;A62;A62;A62;S95;Unknown;XY;92,98;XY;;0,50829177;0,597900173;
S95-A61;A61;A61;A61;S95;Unknown;YY;99,81;YY;;0,22046097;0,692855599;
S95-A70;A70;A70;A70;S95;Unknown;XY;98,44;XY;;0,562131409;0,506136531;
S95-A71;A71;A71;A71;S95;Unknown;XX;99,07;XX;;0,676627265;0,306427694;
S95-A72;A72;A72;A72;S95;Unknown;YY;99,95;YY;;0,131512748;0,720843754;
S95-A69;A69;A69;A69;S95;Unknown;XY;99,53;XY;;0,534220726;0,588058818;
S95-A68;A68;A68;A68;S95;Unknown;YY;99,97;YY;;0,143755035;0,717021375;
S95-A67;A67;A67;A67;S95;Unknown;XY;99,63;XY;;0,494780742;0,475536049;
S95-A76;A76;A76;A76;S95;Unknown;XX;99,74;XX;;0,708988827;0,309811326;
S95-A77;A77;A77;A77;S95;Unknown;XY;99,87;XY;;0,500224161;0,508378574;
S95-A78;A78;A78;A78;S95;Unknown;XY;98,4;XY;;0,625507275;0,484896952;
S95-A75;A75;A75;A75;S95;Unknown;YY;99,97;YY;;0,25331346;0,689748675;
S95-A74;A74;A74;A74;S95;Unknown;XY;98,24;XY;;0,545177599;0,464100837;
S95-A73;A73;A73;A73;S95;Unknown;XY;98,74;XY;;0,483406315;0,599441532;
S95-A82;A82;A82;A82;S95;Unknown;XY;99,84;XY;;0,518084927;0,528275666;
S95-A83;A83;A83;A83;S95;Unknown;YY;99,25;YY;;0,315959817;0,662699088;
S95-A84;A84;A84;A84;S95;Unknown;No Call;0;No Call;No Call;0,11564606;0,120166952;
S95-A81;A81;A81;A81;S95;Unknown;XY;99,63;XY;;0,547978534;0,491513012;
S95-A80;A80;A80;A80;S95;Unknown;XY;99,61;XY;;0,537607313;0,521129966;
S95-A79;A79;A79;A79;S95;Unknown;XX;99,97;XX;;0,72091308;0,150689227;
S95-A88;A88;A88;A88;S95;Unknown;XY;99,58;XY;;0,503259037;0,567307367;
S95-A89;A89;A89;A89;S95;Unknown;XY;99,9;XY;;0,551361474;0,495332922;
S95-A90;A90;A90;A90;S95;Unknown;XY;99,46;XY;;0,589140648;0,583616765;
S95-A87;A87;A87;A87;S95;Unknown;XX;99,87;XX;;0,707421911;0,273536146;
S95-A86;A86;A86;A86;S95;Unknown;XX;99,88;XX;;0,702755829;0,311942287;
S95-A85;A85;A85;A85;S95;Unknown;XY;98,74;XY;;0,546523894;0,491866453;
S95-A94;A94;A94;A94;S95;Unknown;XY;99,93;XY;;0,578187622;0,558912078;
S95-A95;A95;A95;A95;S95;Unknown;YY;99,91;YY;;0,330502128;0,730932274;
S95-A96;A96;A96;A96;S95;Unknown;XX;99,74;XX;;0,704283318;0,135969293;
S95-A93;A93;A93;A93;S95;Unknown;XY;99,67;XY;;0,510743881;0,555799332;
S95-A92;A92;A92;A92;S95;Unknown;YY;96,99;YY;;0,177439825;0,584130173;
S95-A91;A91;A91;A91;S95;Unknown;XY;99,66;XY;;0,567832728;0,523649509;
S05-A01;A01;A01;A01;S05;Unknown;XX;98,77;XX;;0,695992597;0,159932001;
S05-A02;A02;A02;A02;S05;Unknown;No Call;0;No Call;No Call;0,109527285;0,112357941;
S05-A03;A03;A03;A03;S05;Unknown;No Call;0;No Call;No Call;0,105463095;0,122296062;
S05-A06;A06;A06;A06;S05;Unknown;No Call;0;No Call;No Call;0,102017242;0,112031011;
S05-A05;A05;A05;A05;S05;Unknown;No Call;0;No Call;No Call;0,103938533;0,109021116;
S05-A04;A04;A04;A04;S05;Unknown;No Call;0;No Call;No Call;0,107258075;0,105472001;
